College,Course,Category,Allotted_Rank_2023,Allotted_Rank_2024
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRONICS ENGINEERING,ESM,15128,19836
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRONICS ENGINEERING,OPEN,11529,16340
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRONICS ENGINEERING,OPEN-EWS,14959,28090
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRONICS ENGINEERING,SC,20090,28090
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRONICS ENGINEERING,SEBC,28480,16340
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRONICS ENGINEERING,ST,22846,28090
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRONICS ENGINEERING-TFWS,TFWS,5920,3373
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",MECHANICAL ENGINEERING,ESM,30359,33147
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",MECHANICAL ENGINEERING,OPEN,11700,18628
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",MECHANICAL ENGINEERING,OPEN-EWS,15236,33146
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",MECHANICAL ENGINEERING,SC,28709,33146
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",MECHANICAL ENGINEERING,SEBC,19327,18628
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",MECHANICAL ENGINEERING,ST,921278,38760
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",MECHANICAL ENGINEERING - TFWS,TFWS,6953,6131
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",PRODUCTION ENGINEERING,OPEN,28639,37851
"DR. S & S.S.GHANDHI GOVERNMENT ENGINEERING COLLEGE
SURAT",CIVIL ENGINEERING,OPEN,30412,37685
"DR. S & S.S.GHANDHI GOVERNMENT ENGINEERING COLLEGE
SURAT",ELECTRICAL ENGINEERING,OPEN,30516,38292
"DR. S & S.S.GHANDHI GOVERNMENT ENGINEERING COLLEGE
SURAT","ELECTRONICS & COMMUNICATION
ENGG.",ESM,29606,20697
"DR. S & S.S.GHANDHI GOVERNMENT ENGINEERING COLLEGE
SURAT","ELECTRONICS & COMMUNICATION
ENGG.",OPEN,17176,38025
"DR. S & S.S.GHANDHI GOVERNMENT ENGINEERING COLLEGE
SURAT","ELECTRONICS & COMMUNICATION
ENGG.",OPEN-EWS,20277,38025
"DR. S & S.S.GHANDHI GOVERNMENT ENGINEERING COLLEGE
SURAT","ELECTRONICS & COMMUNICATION
ENGG.",SC,28920,38025
"DR. S & S.S.GHANDHI GOVERNMENT ENGINEERING COLLEGE
SURAT","ELECTRONICS & COMMUNICATION
ENGG.",SEBC,29713,35344
DR. S & S.S.GHANDHI GOVERNMENT ENGINEERING COLLEGE SURAT,ELECTRONICS & COMMUNICATION ENGG. - TFWS,TFWS,7719,9348
"DR. S & S.S.GHANDHI GOVERNMENT ENGINEERING COLLEGE
SURAT",ENVIRONMENTAL ENGINEERING,OPEN,30208,38865
"DR. S & S.S.GHANDHI GOVERNMENT ENGINEERING COLLEGE
SURAT",MECHANICAL ENGINEERING,OPEN,19288,36435
"DR. S & S.S.GHANDHI GOVERNMENT ENGINEERING COLLEGE
SURAT",MECHANICAL ENGINEERING,OPEN-EWS,24263,36435
"DR. S & S.S.GHANDHI GOVERNMENT ENGINEERING COLLEGE
SURAT",MECHANICAL ENGINEERING,SC,19611,36435
"DR. S & S.S.GHANDHI GOVERNMENT ENGINEERING COLLEGE
SURAT",MECHANICAL ENGINEERING,SEBC,25203,36710
"DR. S & S.S.GHANDHI GOVERNMENT ENGINEERING COLLEGE
SURAT",MECHANICAL ENGINEERING,ST,26497,38594
"DR. S & S.S.GHANDHI GOVERNMENT ENGINEERING COLLEGE
SURAT",MECHANICAL ENGINEERING - TFWS,TFWS,9591,13182
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",CHEMICAL ENGINEERING,OPEN,2434,5275
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",CHEMICAL ENGINEERING,OPEN-EWS,4303,23202
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",CHEMICAL ENGINEERING,SC,4518,7782
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",CHEMICAL ENGINEERING,SEBC,4623,5275
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",CHEMICAL ENGINEERING,ST,22130,23202
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",CHEMICAL ENGINEERING - TFWS,TFWS,761,1502
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",CIVIL ENGINEERING,ESM,21707,27857
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",CIVIL ENGINEERING,OPEN,13825,23940
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",CIVIL ENGINEERING,OPEN-EWS,18312,35517
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",CIVIL ENGINEERING,SC,23403,32262
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",CIVIL ENGINEERING,SEBC,19602,23940
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",CIVIL ENGINEERING,ST,26878,35517
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",CIVIL ENGINEERING - TFWS,TFWS,5792,10154
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",COMPUTER SCIENCE & ENGG,ESM,2395,1874
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",COMPUTER SCIENCE & ENGG,OPEN,531,3398
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",COMPUTER SCIENCE & ENGG,OPEN-EWS,632,3398
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",COMPUTER SCIENCE & ENGG,SC,2378,3398
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",COMPUTER SCIENCE & ENGG,SEBC,1131,1529
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",COMPUTER SCIENCE & ENGG,SEBC - PH,23797,1529
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",COMPUTER SCIENCE & ENGG,ST,11121,11095
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA","COMPUTER SCIENCE & ENGG -
TFWS",TFWS,277,340
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",ELECTRICAL ENGINEERING,ESM,10703,19407
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",ELECTRICAL ENGINEERING,OPEN,7056,17754
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",ELECTRICAL ENGINEERING,OPEN-EWS,11510,18416
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",ELECTRICAL ENGINEERING,SC,24610,18416
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",ELECTRICAL ENGINEERING,SEBC,15799,17754
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",ELECTRICAL ENGINEERING,ST,24559,38094
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",ELECTRICAL ENGINEERING - TFWS,TFWS,4459,6046
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",ELECTRONICS ENGINEERING,OPEN,4544,7059
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",ELECTRONICS ENGINEERING,OPEN-EWS,6053,9490
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",ELECTRONICS ENGINEERING,SC,6402,9490
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",ELECTRONICS ENGINEERING,SEBC,13274,7059
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",ELECTRONICS ENGINEERING,ST,29322,21360
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",ELECTRONICS ENGINEERING-TFWS,TFWS,2955,1210
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",MECHANICAL ENGINEERING,ESM,20050,24548
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",MECHANICAL ENGINEERING,OPEN,6877,15081
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",MECHANICAL ENGINEERING,OPEN-EWS,9354,22234
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",MECHANICAL ENGINEERING,SC,21206,22234
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",MECHANICAL ENGINEERING,SEBC,14265,15081
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",MECHANICAL ENGINEERING,ST,28793,38269
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",MECHANICAL ENGINEERING - TFWS,TFWS,2226,3984
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA","METALLURGICAL AND MATERIALS
ENGINEERING",OPEN,30199,38755
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",TEXTILE ENGINEERING,OPEN,29860,38713
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",TEXTILE PROCESSING ENGG.,OPEN,910916,31336
"FACULTY OF TECHNOLOGY & ENGINEERING(MSU), VADODARA",TEXTILE TECHNOLOGY,OPEN,29646,36117
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD",CHEMICAL ENGINEERING,OPEN,5380,8269
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD",CHEMICAL ENGINEERING,OPEN-EWS,5697,16155
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD",CHEMICAL ENGINEERING,SC,16404,16155
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD",CHEMICAL ENGINEERING,SEBC,8639,8269
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD",CHEMICAL ENGINEERING,ST,28607,36210
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD",CHEMICAL ENGINEERING - TFWS,TFWS,2258,1133
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD",CIVIL ENGINEERING,OPEN,18656,23403
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD",CIVIL ENGINEERING,OPEN-EWS,20816,30532
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD",CIVIL ENGINEERING,SC,27447,35127
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD",CIVIL ENGINEERING,SEBC,23911,23403
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD",CIVIL ENGINEERING,ST,29073,30532
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD",CIVIL ENGINEERING - TFWS,TFWS,8402,5179
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD",COMPUTER ENGINEERING,ESM,1744,5683
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD",COMPUTER ENGINEERING,OPEN,249,526
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD",COMPUTER ENGINEERING,OPEN - PH,23135,526
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD",COMPUTER ENGINEERING,OPEN-EWS,263,1582
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD",COMPUTER ENGINEERING,SC,1316,1582
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD",COMPUTER ENGINEERING,SEBC,526,526
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD",COMPUTER ENGINEERING,ST,12295,10741
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD",COMPUTER ENGINEERING - TFWS,TFWS,155,124
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD","ELECTRONICS & COMMUNICATION
ENGG.",ESM,11555,17341
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD","ELECTRONICS & COMMUNICATION
ENGG.",OPEN,2728,3363
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD","ELECTRONICS & COMMUNICATION
ENGG.",OPEN-EWS,3507,9198
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD","ELECTRONICS & COMMUNICATION
ENGG.",SC,13678,9198
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD","ELECTRONICS & COMMUNICATION
ENGG.",SEBC,7113,3363
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD","ELECTRONICS & COMMUNICATION
ENGG.",ST,23670,35616
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH DESAI UNIVERSITY, (DDU), NADIAD",ELECTRONICS & COMMUNICATION ENGG. - TFWS,TFWS,1218,896
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD","INSTRUMENTATION & CONTROL
ENGG.",OPEN,12740,16065
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD","INSTRUMENTATION & CONTROL
ENGG.",OPEN-EWS,15432,18397
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD","INSTRUMENTATION & CONTROL
ENGG.",SC,22657,18397
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD","INSTRUMENTATION & CONTROL
ENGG.",SEBC,24870,16065
"FACULTY OF TECHNOLOGY AND ENGINEERING(GIA), DHARMSINH
DESAI UNIVERSITY, (DDU), NADIAD","INSTRUMENTATION & CONTROL
ENGG. - TFWS",TFWS,3227,2423
"GOVERNMENT ENGINEERING COLLEGE, BHARUCH",CHEMICAL ENGINEERING,ESM,19197,14196
"GOVERNMENT ENGINEERING COLLEGE, BHARUCH",CHEMICAL ENGINEERING,OPEN,13150,17848
"GOVERNMENT ENGINEERING COLLEGE, BHARUCH",CHEMICAL ENGINEERING,OPEN-EWS,14585,33352
"GOVERNMENT ENGINEERING COLLEGE, BHARUCH",CHEMICAL ENGINEERING,SC,28735,33352
"GOVERNMENT ENGINEERING COLLEGE, BHARUCH",CHEMICAL ENGINEERING,SEBC,18911,17848
"GOVERNMENT ENGINEERING COLLEGE, BHARUCH",CHEMICAL ENGINEERING,ST,21998,38214
"GOVERNMENT ENGINEERING COLLEGE, BHARUCH",CHEMICAL ENGINEERING - TFWS,TFWS,10195,9705
"GOVERNMENT ENGINEERING COLLEGE, BHARUCH",CIVIL ENGINEERING,OPEN,30382,
"GOVERNMENT ENGINEERING COLLEGE, BHARUCH",COMPUTER ENGINEERING,ESM,17932,21561
"GOVERNMENT ENGINEERING COLLEGE, BHARUCH",COMPUTER ENGINEERING,OPEN,6076,9730
"GOVERNMENT ENGINEERING COLLEGE, BHARUCH",COMPUTER ENGINEERING,OPEN-EWS,6762,20850
"GOVERNMENT ENGINEERING COLLEGE, BHARUCH",COMPUTER ENGINEERING,SC,10434,20850
"GOVERNMENT ENGINEERING COLLEGE, BHARUCH",COMPUTER ENGINEERING,SEBC,8225,9730
"GOVERNMENT ENGINEERING COLLEGE, BHARUCH",COMPUTER ENGINEERING,ST,27631,30496
"GOVERNMENT ENGINEERING COLLEGE, BHARUCH",COMPUTER ENGINEERING - TFWS,TFWS,4405,4365
"GOVERNMENT ENGINEERING COLLEGE, BHARUCH",ELECTRICAL ENGINEERING,OPEN,29939,38494
"GOVERNMENT ENGINEERING COLLEGE, BHARUCH","ELECTRONICS & COMMUNICATION
ENGG.",OPEN,30439,38723
"GOVERNMENT ENGINEERING COLLEGE, BHARUCH",MECHANICAL ENGINEERING,OPEN,29342,38402
"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",CIVIL ENGINEERING,OPEN,29667,36251
"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",CIVIL ENGINEERING - TFWS,TFWS,12681,6925
"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",COMPUTER ENGINEERING,ESM,10592,14479
"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",COMPUTER ENGINEERING,OPEN,3670,6942
"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",COMPUTER ENGINEERING,OPEN-EWS,3994,14640
"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",COMPUTER ENGINEERING,SC,9357,14640
"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",COMPUTER ENGINEERING,SEBC,5020,6942
"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",COMPUTER ENGINEERING,ST,30313,38954
"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",COMPUTER ENGINEERING - TFWS,TFWS,1761,2291
"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR","ELECTRONICS & COMMUNICATION
ENGG.",OPEN,30258,36383
"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",ELECTRONICS & COMMUNICATION ENGG. - TFWS,TFWS,11254,8514
"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",INFORMATION & COMMUNICATION TECHNOLOGY,OPEN,8009,20157
"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",INFORMATION & COMMUNICATION TECHNOLOGY,OPEN-EWS,8853,35681
"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",INFORMATION & COMMUNICATION TECHNOLOGY,SC,26005,35681
"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",INFORMATION & COMMUNICATION TECHNOLOGY,SEBC,12046,20157
"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",INFORMATION & COMMUNICATION TECHNOLOGY,ST,30351,35681
"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR","INFORMATION & COMMUNICATION TECHNOLOGY -
TFWS",TFWS,6028,7691
"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",INFORMATION TECHNOLOGY,ESM,11368,27030
"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",INFORMATION TECHNOLOGY,OPEN,5166,8448
"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",INFORMATION TECHNOLOGY,OPEN-EWS,5788,25719
"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",INFORMATION TECHNOLOGY,SC,18211,25719
"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",INFORMATION TECHNOLOGY,SEBC,7170,8448
"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",INFORMATION TECHNOLOGY,ST,27880,37230
"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR","INFORMATION TECHNOLOGY -
TFWS",TFWS,2579,4213
"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",MECHANICAL ENGINEERING,OPEN,26958,38830
"GOVERNMENT ENGINEERING COLLEGE, BHUJ",CHEMICAL ENGINEERING,OPEN,29855,37543
"GOVERNMENT ENGINEERING COLLEGE, BHUJ",CIVIL ENGINEERING,OPEN,30157,36377
"GOVERNMENT ENGINEERING COLLEGE, BHUJ",ELECTRICAL ENGINEERING,OPEN,29685,38781
"GOVERNMENT ENGINEERING COLLEGE, BHUJ",MECHANICAL ENGINEERING,OPEN,22642,36277
"GOVERNMENT ENGINEERING COLLEGE, BHUJ",MINING ENGINEERING,OPEN,920236,37679
"GOVERNMENT ENGINEERING COLLEGE, DAHOD",CIVIL ENGINEERING,OPEN,29038,38828
"GOVERNMENT ENGINEERING COLLEGE, DAHOD",COMPUTER ENGINEERING,ESM,24903,24076
"GOVERNMENT ENGINEERING COLLEGE, DAHOD",COMPUTER ENGINEERING,OPEN,11080,18379
"GOVERNMENT ENGINEERING COLLEGE, DAHOD",COMPUTER ENGINEERING,OPEN-EWS,12979,38775
"GOVERNMENT ENGINEERING COLLEGE, DAHOD",COMPUTER ENGINEERING,SC,23239,30290
"GOVERNMENT ENGINEERING COLLEGE, DAHOD",COMPUTER ENGINEERING,SEBC,14745,18379
"GOVERNMENT ENGINEERING COLLEGE, DAHOD",COMPUTER ENGINEERING,ST,27498,38775
"GOVERNMENT ENGINEERING COLLEGE, DAHOD",COMPUTER ENGINEERING - TFWS,TFWS,5907,9863
"GOVERNMENT ENGINEERING COLLEGE, DAHOD",ELECTRICAL ENGINEERING,OPEN,28226,38960
"GOVERNMENT ENGINEERING COLLEGE, DAHOD","ELECTRONICS & COMMUNICATION
ENGG.",OPEN,27369,37046
"GOVERNMENT ENGINEERING COLLEGE, DAHOD",MECHANICAL ENGINEERING,OPEN,29899,37728
"GOVERNMENT ENGINEERING COLLEGE, GODHRA",CIVIL ENGINEERING,OPEN,27371,38644
"GOVERNMENT ENGINEERING COLLEGE, GODHRA",ELECTRICAL ENGINEERING,OPEN,28336,35027
"GOVERNMENT ENGINEERING COLLEGE, GODHRA",MECHANICAL ENGINEERING,OPEN,25562,37452
"GOVERNMENT ENGINEERING COLLEGE, MODASA",AUTOMOBILE ENGINEERING,OPEN,28063,38824
"GOVERNMENT ENGINEERING COLLEGE, MODASA",CIVIL ENGINEERING,OPEN,29642,38654
"GOVERNMENT ENGINEERING COLLEGE, MODASA",COMPUTER ENGINEERING,ESM,20818,31996.5
"GOVERNMENT ENGINEERING COLLEGE, MODASA",COMPUTER ENGINEERING,OPEN,9889,17159
"GOVERNMENT ENGINEERING COLLEGE, MODASA",COMPUTER ENGINEERING,OPEN-EWS,11838,28119
"GOVERNMENT ENGINEERING COLLEGE, MODASA",COMPUTER ENGINEERING,SC,20693,28119
"GOVERNMENT ENGINEERING COLLEGE, MODASA",COMPUTER ENGINEERING,SEBC,13120,17159
"GOVERNMENT ENGINEERING COLLEGE, MODASA",COMPUTER ENGINEERING,ST,29542,38373
"GOVERNMENT ENGINEERING COLLEGE, MODASA",COMPUTER ENGINEERING - TFWS,TFWS,5618,5855
"GOVERNMENT ENGINEERING COLLEGE, MODASA",ELECTRICAL ENGINEERING,OPEN,29572,38680
"GOVERNMENT ENGINEERING COLLEGE, MODASA","ELECTRONICS & COMMUNICATION
ENGG.",OPEN,28650,38691
"GOVERNMENT ENGINEERING COLLEGE, MODASA",INFORMATION TECHNOLOGY,ESM,24429,28327
"GOVERNMENT ENGINEERING COLLEGE, MODASA",INFORMATION TECHNOLOGY,OPEN,10920,19503
"GOVERNMENT ENGINEERING COLLEGE, MODASA",INFORMATION TECHNOLOGY,OPEN-EWS,12201,30808
"GOVERNMENT ENGINEERING COLLEGE, MODASA",INFORMATION TECHNOLOGY,SC,21794,30808
"GOVERNMENT ENGINEERING COLLEGE, MODASA",INFORMATION TECHNOLOGY,SEBC,13637,19503
