"College","Course","Category","Predicted_Rank_2025"
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","ELECTRONICS & COMMUNICATION
ENGG.","SEBC",30156
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","FOOD PROCESSING &
TECHNOLOGY","OPEN",56157
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","FOOD PROCESSING &
TECHNOLOGY","OPEN-EWS",56157
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","FOOD PROCESSING &
TECHNOLOGY","SC",56157
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","FOOD PROCESSING &
TECHNOLOGY","SEBC",48996
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","FOOD PROCESSING &
TECHNOLOGY","ST",77066
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","INFORMATION TECHNOLOGY","ESM",67397
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","INFORMATION TECHNOLOGY","OPEN",19366
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","INFORMATION TECHNOLOGY","OPEN-EWS",43150
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","INFORMATION TECHNOLOGY","SC",43150
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","INFORMATION TECHNOLOGY","SEBC",19366
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","MECHANICAL ENGINEERING","OPEN",49830
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD","COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)","ESM",34215
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD","COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)","OPEN",33782
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD","COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)","OPEN-EWS",33782
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD","COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)","SC",33782
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD","COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)","SEBC",25243
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD","COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)","ST",85371
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD","INFORMATION & COMMUNICATION TECHNOLOGY","ESM",50995
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD","INFORMATION & COMMUNICATION TECHNOLOGY","OPEN",75315
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD","INFORMATION & COMMUNICATION TECHNOLOGY","OPEN-EWS",75315
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD","INFORMATION & COMMUNICATION TECHNOLOGY","SC",75315
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD","INFORMATION & COMMUNICATION TECHNOLOGY","SEBC",42886
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD","INFORMATION & COMMUNICATION TECHNOLOGY","ST",159095
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY
(WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD","CHEMICAL ENGINEERING","OPEN",49770
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD","BIO-TECHNOLOGY","OPEN",99310
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD","BIO-TECHNOLOGY","OPEN-EWS",101994
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD","BIO-TECHNOLOGY","SC",101994
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD","BIO-TECHNOLOGY","SEBC",99310
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD","BIO-TECHNOLOGY","ST",91430
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD","CIVIL ENGINEERING","OPEN",49775
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD","COMPUTER ENGINEERING","OPEN",49562
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD","COMPUTER SCIENCE & ENGG","OPEN",55317
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD","COMPUTER SCIENCE & ENGG","SC",55317
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD","ELECTRICAL ENGINEERING","OPEN",49360
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD","INFORMATION TECHNOLOGY","OPEN",49066
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD","MECHANICAL ENGINEERING","OPEN",54340
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","ARTIFICIAL INTELLIGENCE(AI) AND
MACHINE LEARNING","OPEN",56359
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","ARTIFICIAL INTELLIGENCE(AI) AND
MACHINE LEARNING","OPEN-EWS",63436
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","ARTIFICIAL INTELLIGENCE(AI) AND
MACHINE LEARNING","SC",63436
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","ARTIFICIAL INTELLIGENCE(AI) AND
MACHINE LEARNING","SEBC",56359
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","AUTOMOBILE ENGINEERING","OPEN",43908
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","CIVIL ENGINEERING","OPEN",51697
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","COMPUTER ENGINEERING","ESM",60432
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","COMPUTER ENGINEERING","OPEN",75135
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","COMPUTER ENGINEERING","OPEN-EWS",92126
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","COMPUTER ENGINEERING","SC",92126
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","COMPUTER ENGINEERING","SEBC",75135
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","COMPUTER ENGINEERING","ST",92126
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","COMPUTER SCIENCE &
ENGINEERING (DATA SCIENCE)","ESM",24016
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","COMPUTER SCIENCE &
ENGINEERING (DATA SCIENCE)","OPEN",27496
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","COMPUTER SCIENCE &
ENGINEERING (DATA SCIENCE)","OPEN-EWS",27496
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","COMPUTER SCIENCE &
ENGINEERING (DATA SCIENCE)","SC",27496
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","COMPUTER SCIENCE &
ENGINEERING (DATA SCIENCE)","SEBC",48799
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","COMPUTER SCIENCE &
ENGINEERING (DATA SCIENCE)","ST",48799
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","ELECTRICAL ENGINEERING","OPEN",49548
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","ELECTRONICS & COMMUNICATION
ENGG.","OPEN",63119
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","ELECTRONICS & COMMUNICATION
ENGG.","SEBC",63119
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","INFORMATION TECHNOLOGY","ESM",59726
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","INFORMATION TECHNOLOGY","OPEN",70951
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","INFORMATION TECHNOLOGY","OPEN-EWS",79615
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","INFORMATION TECHNOLOGY","SC",79615
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","INFORMATION TECHNOLOGY","SEBC",70951
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","INFORMATION TECHNOLOGY","ST",93008
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","MECHANICAL ENGINEERING","OPEN",50503
"ANANT SCHOOL FOR CLIMATE ACTION, AHMEDABAD","CLIMATE CHANGE","OPEN",62519
"APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY
AHMEDABAD","ARTIFICIAL INTELLIGENCE AND
DATA SCIENCE","OPEN",81189
"APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY
AHMEDABAD","ARTIFICIAL INTELLIGENCE AND
DATA SCIENCE","OPEN-EWS",81189
"APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY
AHMEDABAD","ARTIFICIAL INTELLIGENCE AND
DATA SCIENCE","SC",81189
"APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY
AHMEDABAD","ARTIFICIAL INTELLIGENCE AND
DATA SCIENCE","SEBC",93685
"APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY
AHMEDABAD","COMPUTER ENGINEERING","OPEN",51094
"APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY
AHMEDABAD","COMPUTER ENGINEERING","OPEN-EWS",41577
"APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY
AHMEDABAD","COMPUTER ENGINEERING","SEBC",51094
"APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY
AHMEDABAD","INFORMATION TECHNOLOGY","OPEN",49522
"APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY
AHMEDABAD","MECHANICAL ENGINEERING","OPEN",58134
"ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH.
BARDOLI","COMPUTER ENGINEERING","OPEN",48795
"ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH.
BARDOLI","COMPUTER ENGINEERING","OPEN-EWS",48795
"ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH.
BARDOLI","COMPUTER ENGINEERING
(SOFTWARE ENGINEERING)","OPEN",51761
"ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH.
BARDOLI","COMPUTER SCIENCE & ENGG","OPEN",49869
"ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH.
BARDOLI","COMPUTER SCIENCE & ENGINEERING
(CLOUD COMPUTING)","OPEN",57387
"ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH.
BARDOLI","INFORMATION TECHNOLOGY","OPEN",50937
"ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH. BARDOLI","COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)","OPEN",39708
"ATMIYA UNIVERSITY, FACULTY OF ENGINEERING AND
TECHNOLOGY, RAJKOT","COMPUTER ENGINEERING","OPEN",48176
"ATMIYA UNIVERSITY, FACULTY OF ENGINEERING AND
TECHNOLOGY, RAJKOT","COMPUTER SCIENCE & ENGG","OPEN",69968
"ATMIYA UNIVERSITY, FACULTY OF ENGINEERING AND
TECHNOLOGY, RAJKOT","COMPUTER SCIENCE & ENGG","OPEN-EWS",69968
"ATMIYA UNIVERSITY, FACULTY OF ENGINEERING AND
TECHNOLOGY, RAJKOT","COMPUTER SCIENCE & ENGG","SEBC",66599
"ATMIYA UNIVERSITY, FACULTY OF ENGINEERING AND
TECHNOLOGY, RAJKOT","ELECTRICAL ENGINEERING","OPEN",49418
"ATMIYA UNIVERSITY, FACULTY OF ENGINEERING AND
TECHNOLOGY, RAJKOT","INFORMATION TECHNOLOGY","OPEN",46035
"ATMIYA UNIVERSITY, FACULTY OF ENGINEERING AND
TECHNOLOGY, RAJKOT","MECHANICAL ENGINEERING","OPEN",29996
"B.H.GARDI COLLEGE OF ENGG. & TECHNOLOGY , RAJKOT","COMPUTER ENGINEERING","OPEN",50251
"B.H.GARDI COLLEGE OF ENGG. & TECHNOLOGY , RAJKOT","INFORMATION TECHNOLOGY","OPEN",43044
"BHAGWAN ARIHANT INSTITUTE OF TECH., SURAT","AERONAUTICAL ENGINEERING","OPEN",45255
"BHAGWAN ARIHANT INSTITUTE OF TECH., SURAT","CHEMICAL ENGINEERING","OPEN",53687
"BHAGWAN ARIHANT INSTITUTE OF TECH., SURAT","COMPUTER ENGINEERING","OPEN",47742
"BHAGWAN ARIHANT INSTITUTE OF TECH., SURAT","INFORMATION TECHNOLOGY","OPEN",48748
"BHAGWAN ARIHANT INSTITUTE OF TECH., SURAT","NANO TECHNOLOGY","OPEN",46605
"BHAGWAN ARIHANT INSTITUTE OF TECH., SURAT","PHARMACEUTICAL ENGINEERING","OPEN",17468
"BHAGWAN ARIHANT INSTITUTE OF TECH., SURAT","PHARMACEUTICAL ENGINEERING","OPEN-EWS",17468
"BHAGWAN ARIHANT INSTITUTE OF TECH., SURAT","ROBOTICS AND AUTOMATION","OPEN",45546
"BHAGWAN MAHAVIR COLLEGE OF ENGG. AND TECH., SURAT","AUTOMOBILE ENGINEERING","OPEN",42494
"BHAGWAN MAHAVIR COLLEGE OF ENGG. AND TECH., SURAT","CIVIL ENGINEERING","OPEN",34987
"BHAGWAN MAHAVIR COLLEGE OF ENGG. AND TECH., SURAT","COMPUTER ENGINEERING","OPEN",49343
"BHAGWAN MAHAVIR COLLEGE OF ENGG. AND TECH., SURAT","ELECTRONICS & COMMUNICATION
ENGG.","OPEN",42548
"BHAGWAN MAHAVIR COLLEGE OF ENGG. AND TECH., SURAT","ELECTRONICS ENGINEERING","OPEN",100085
"BHAGWAN MAHAVIR COLLEGE OF ENGG. AND TECH., SURAT","MECHANICAL ENGINEERING","OPEN",68677
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","CIVIL ENGINEERING","ESM",29364
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","CIVIL ENGINEERING","OPEN",32205
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","CIVIL ENGINEERING","OPEN-EWS",46704
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","CIVIL ENGINEERING","SC",46304
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","CIVIL ENGINEERING","SEBC",32205
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","CIVIL ENGINEERING","ST",46704
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","COMPUTER ENGINEERING","ESM",17795
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","COMPUTER ENGINEERING","OPEN",4622
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","COMPUTER ENGINEERING","OPEN-EWS",11461
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","COMPUTER ENGINEERING","SC",11461
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","COMPUTER ENGINEERING","SEBC",4622
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","COMPUTER ENGINEERING","ST",37042
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","ELECTRICAL ENGINEERING","ESM",21166
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","ELECTRICAL ENGINEERING","OPEN",29353
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","ELECTRICAL ENGINEERING","OPEN-EWS",42993
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","ELECTRICAL ENGINEERING","SC",42993
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","ELECTRICAL ENGINEERING","SEBC",29353
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","ELECTRICAL ENGINEERING","ST",59054
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","ELECTRONICS ENGINEERING","ESM",28113
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","ELECTRONICS ENGINEERING","OPEN",23159
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","ELECTRONICS ENGINEERING","OPEN-EWS",39812
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","ELECTRONICS ENGINEERING","SC",39812
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","ELECTRONICS ENGINEERING","SEBC",23159
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","ELECTRONICS ENGINEERING","ST",39812
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","MECHANICAL ENGINEERING","ESM",52775
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","MECHANICAL ENGINEERING","OPEN",29658
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","MECHANICAL ENGINEERING","OPEN-EWS",52773
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","MECHANICAL ENGINEERING","SC",52773
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","MECHANICAL ENGINEERING","SEBC",29658
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","MECHANICAL ENGINEERING","ST",61711
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR","PRODUCTION ENGINEERING","OPEN",50026
"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR","ELECTRONICS & COMMUNICATION
ENGG.","OPEN",12521
"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR","ELECTRONICS & COMMUNICATION
ENGG.","OPEN-EWS",41731
"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR","ELECTRONICS & COMMUNICATION
ENGG.","SC",41731
"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR","ELECTRONICS & COMMUNICATION
ENGG.","SEBC",12521
"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR","INFORMATION TECHNOLOGY","ESM",5687
"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR","INFORMATION TECHNOLOGY","OPEN",9080
"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR","INFORMATION TECHNOLOGY","OPEN - PH",9080
"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR","INFORMATION TECHNOLOGY","OPEN-EWS",26186
"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR","INFORMATION TECHNOLOGY","SC",26186
"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR","INFORMATION TECHNOLOGY","SEBC",9080
"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR","INFORMATION TECHNOLOGY","ST",88496
"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR","MECHANICAL ENGINEERING","OPEN",23345
"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR","MECHANICAL ENGINEERING","OPEN-EWS",38141
"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR","MECHANICAL ENGINEERING","SEBC",23345
"C. K. PITHAWALA COLLEGE OF ENGG. & TECH., SURAT","CIVIL ENGINEERING","OPEN",51370
"C. K. PITHAWALA COLLEGE OF ENGG. & TECH., SURAT","COMPUTER ENGINEERING","OPEN",112694
"C. K. PITHAWALA COLLEGE OF ENGG. & TECH., SURAT","COMPUTER ENGINEERING","OPEN-EWS",112694
"C. K. PITHAWALA COLLEGE OF ENGG. & TECH., SURAT","COMPUTER ENGINEERING","SC",112694
"C. K. PITHAWALA COLLEGE OF ENGG. & TECH., SURAT","COMPUTER ENGINEERING","SEBC",77020
"C. K. PITHAWALA COLLEGE OF ENGG. & TECH., SURAT","ELECTRICAL ENGINEERING","OPEN",49980
"C. K. PITHAWALA COLLEGE OF ENGG. & TECH., SURAT","INFORMATION TECHNOLOGY","OPEN",26762
"C. K. PITHAWALA COLLEGE OF ENGG. & TECH., SURAT","INFORMATION TECHNOLOGY","OPEN-EWS",26762
"C. K. PITHAWALA COLLEGE OF ENGG. & TECH., SURAT","INFORMATION TECHNOLOGY","SC",42147
"C. K. PITHAWALA COLLEGE OF ENGG. & TECH., SURAT","INFORMATION TECHNOLOGY","SEBC",42147
"C. K. PITHAWALA COLLEGE OF ENGG. & TECH., SURAT","INFORMATION TECHNOLOGY","ST",42147
"C. K. PITHAWALA COLLEGE OF ENGG. & TECH., SURAT","MECHANICAL ENGINEERING","OPEN",51105
"C.U.SHAH COLLEGE OF ENGG.& TECH.,WADHVAN","COMPUTER ENGINEERING","OPEN",46089
"CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING &
TECHNOLOGY","MANUFACTURING ENGINEERING","OPEN",77607
"CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING &
TECHNOLOGY","PLASTIC ENGINEERING","OPEN",57435
"CHAROTAR UNIVERSITY OF SCIENCE & TECHNOLOGY
(CHARUSAT) - CHANDUBHAI S PATEL INSTITUTE OF TECHNOLOGY (CSPIT), CHANGA","COMPUTER ENGINEERING","OPEN",88115
"CHAROTAR UNIVERSITY OF SCIENCE & TECHNOLOGY
(CHARUSAT) - CHANDUBHAI S PATEL INSTITUTE OF TECHNOLOGY (CSPIT), CHANGA","COMPUTER ENGINEERING","SC",88115
"CHAROTAR UNIVERSITY OF SCIENCE & TECHNOLOGY
(CHARUSAT) - DEVANG PATEL INSTITUTE OF ADVANCE TECHNOLOGY AND RESEARCH (DEPSTAR), CHANGA","COMPUTER ENGINEERING","ESM",81152
"CHAROTAR UNIVERSITY OF SCIENCE & TECHNOLOGY
(CHARUSAT) - DEVANG PATEL INSTITUTE OF ADVANCE TECHNOLOGY AND RESEARCH (DEPSTAR), CHANGA","COMPUTER ENGINEERING","OPEN",74657
"CHAROTAR UNIVERSITY OF SCIENCE & TECHNOLOGY
(CHARUSAT) - DEVANG PATEL INSTITUTE OF ADVANCE TECHNOLOGY AND RESEARCH (DEPSTAR), CHANGA","COMPUTER ENGINEERING","OPEN-EWS",74657
"CHAROTAR UNIVERSITY OF SCIENCE & TECHNOLOGY
(CHARUSAT) - DEVANG PATEL INSTITUTE OF ADVANCE TECHNOLOGY AND RESEARCH (DEPSTAR), CHANGA","COMPUTER ENGINEERING","SC",74657
"CHAROTAR UNIVERSITY OF SCIENCE & TECHNOLOGY
(CHARUSAT) - DEVANG PATEL INSTITUTE OF ADVANCE TECHNOLOGY AND RESEARCH (DEPSTAR), CHANGA","INFORMATION TECHNOLOGY","OPEN",58168
"CHAROTAR UNIVERSITY OF SCIENCE & TECHNOLOGY
(CHARUSAT) - DEVANG PATEL INSTITUTE OF ADVANCE TECHNOLOGY AND RESEARCH (DEPSTAR), CHANGA","INFORMATION TECHNOLOGY","SC",58168
"CHAROTAR UNIVERSITY OF SCIENCE & TECHNOLOGY (CHARUSAT) - CHANDUBHAI S PATEL INSTITUTE OF
TECHNOLOGY (CSPIT), CHANGA","ARTIFICIAL INTELLIGENCE(AI) AND MACHINE LEARNING","ESM",15501
